codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic982024000000026,BL11DO,NISSAN,CE 419NM,,1,,10000,200,93378,,,,,,,,,2024-08-09,2024-10-21,1,0,26,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:27:23
vehic982024000000027,PAJERO,TOYOTA,CE 245 NK,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,27,,,2024-11-08,,2025-01-03,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:42:04
vehic982024000000028,PRADO,TOYOTA,LT 016 JD,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-08-11,1,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:22:55
vehic982024000000029,PRADO,TOYOTA,LT 017 JD,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,29,,,2025-06-25,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:26:31
vehic982024000000030,FORTUNER,TOYOTA,CE 226 JX,,1,,10000,200,93378,binary data,binary data,binary data,binary data,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-08-09,1,0,30,binary data,,,,,,,,,,,,,,,,,,,,,,,,,,agent872024000000001,11:28:13,19:16:53
vehic982024000000031,FORTUNER,TOYOTA,CE 476 KA,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,31,,,2024-11-08,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:44:04
vehic982024000000032,DUSTER,DACIA,CE 545 JR,,4,,10000,200,3000,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,2,2,32,,92378.0,2024-11-08,2024-08-17,2024-09-21,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:47:14
vehic982024000000033,DUSTER,DACIA,CE 546 JR,,4,,10000,200,5000,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,2,2,33,,96378.0,2024-06-29,2024-08-17,2024-05-08,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:48:42
vehic982024000000034,DUSTER,DACIA,CE 142 JU,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,34,,,2024-11-08,2024-07-20,2024-12-10,,,,,,,,,,,,,,,,,,,,,,,11:28:13,12:14:54
vehic982024000000035,"ELECTRIC CAR NETA, CHAO 400 LITE Zachari",NETA,CE 062 NW,,1,,10000,200,93378,binary data,,,,,,,,2024-08-09,2024-10-23,1,0,35,,,2024-03-17,,2024-07-26,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:35:46
vehic982024000000036,HINO 300,HINO,CE 328 MN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000007,cvehi294202400000001,secte317202400000002,2024-08-09,2024-10-23,1,0,36,,,2024-11-08,2024-11-30,2024-11-12,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:37:00
vehic982024000000037,HOWO FOURGON,HOWO,LT 471 IY,,4,,10000,200,118435,binary data,,,,,tvehi294202400000007,cvehi294202400000001,secte317202400000002,2024-08-09,2024-10-21,2,22,37,,25057.0,2024-11-08,2025-02-20,2024-12-04,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:06:09
vehic982024000000038,MERCEDES 3340 TRAILER,MERCEDES,CETR 112 AF,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,38,,,2024-11-08,2024-10-25,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:07:55
vehic982024000000039,RENAULT HIAB Orange,RENAULT,ENTR 393 AA,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,,2024-08-09,2024-10-23,1,0,39,,,2024-11-08,2024-11-08,2025-01-03,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:37:58
vehic982024000000040,RENAULT HIAB Yellow,RENAULT,EN 950 AN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,,2024-08-09,2024-08-11,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:29:54
vehic982024000000041,RENAULT HIAB Red,RENAULT,EN 925 AN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,41,,,2024-11-08,2025-04-14,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:20:30
vehic982024000000042,SINOTRUCK HIAB White,SINOTRUCK,CE 764 MW,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,42,,,2024-11-08,2024-11-04,2024-12-27,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,14:57:02
vehic982024000000043,TRAILER RENAULT Truck,TRAILER,ENTR 331 AA,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,43,,,2024-11-08,2025-01-17,2024-12-27,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:21:57
vehic982024000000044,SEMI-REMORQUE 1,SEMI-REMORQUE,CESR 017 AD,,1,,10000,200,93378,,,,,,tvehi294202400000004,cvehi672024000000001,secte317202400000002,2024-08-09,2024-08-11,1,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,20:31:28
vehic982024000000045,SEMI-REMORQUE 2 (PLATEAU),SEMI,CESR 560 AD,,1,,10000,200,93378,binary data,,,,,tvehi294202400000004,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,45,,,2024-11-08,2025-01-17,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:58:54
vehic982024000000046,SEMI REMORQUE PORTE CHARGE JOLUSO,SEMI,CESR 561 AD,,1,,10000,200,93378,binary data,,,,,tvehi294202400000004,cvehi672024000000001,,2024-08-09,2024-10-21,1,0,46,,,2024-11-08,2024-12-04,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:15:22
vehic982024000000047,HOWO TRUCK BENNE 1,HOWO,CE 330 MN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,47,,,2024-11-08,2024-11-29,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:44:16
vehic982024000000048,HOWO TRUCK BENNE 2,HOWO,CE 190 LY,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,,2024-08-09,2024-10-21,1,0,48,,,2024-12-14,2025-03-28,2024-12-04,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,14:45:20
vehic982024000000049,HOWO TRUCK BENNE 3,HOWO,CE 332 MN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,49,,,2024-11-08,2025-01-03,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:55:52
vehic982024000000050,HOWO TRUCK BENNE 4,HOWO,CE 702 NH,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,50,,,2024-12-14,2025-04-17,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,16:55:16
